,sentences,pos,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,century,out,bold,caught,stumped,wicket,hattrick,catch,six,four,amazing,hundred,ton,boundary,drop,toss,won,lost,score
0,"With all that twitter round-up of this freakish innings, it's time to wrap things up.",874,10,8,63.6550023408,0.0,0.0,0.024506113415,0.0675076970495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08929
1,My head is in a spin and I am struggling to construct a sentence of words together.,873,8,10,71.0079369155,0.024506113415,0.0,0.0,0.0180473243746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157895
2,"Anyway, England must have been dented big time.",872,8,2,42.0135688274,0.0,0.0675076970495,0.109383737436,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05882
3,Their confidence would have been beheaded and will be interesting to see how they recover.,871,7,9,74.8748883107,0.109383737436,0.0180473243746,0.0,0.0194678097556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07317
4,That's that from this game.,870,3,4,19.626918229,0.0,0.0,0.0465708465154,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085715
5,"On behalf of my co-commentator Akshay Maanay and scorer Mani, this is Sagar Chawla signing off and wondering when did cricket allow executioners to jump along.",869,17,11,133.929727336,0.0465708465154,0.0194678097556,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.083335
6,Ciao!Below are a few tweets appreciating Gayle's knock:Brian Lara: Well done Windies!,868,15,4,79.0375555265,0.0,0.0,0.0,0.052859927087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118585
7,@henrygayle magnificent innings!!,867,6,0,19.0776030308,0.0,0.0,0.113809431431,0.140205657128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058825
8,Plenty areas to improve guys go back to the drawing board and work out those weak areasAllan Donald: @henrygayle @RCBTweets Man what a knock from the big man tonight.,866,23,10,145.121600842,0.113809431431,0.052859927087,0.14411109994,0.033268101767,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.107325
9,Glad I share the same dressing at RCB with himMpumelelo Mbangwa: What a knock by @henrygayle King in this format.,865,13,10,99.6094621694,0.14411109994,0.140205657128,0.0070690573156,0.0746999320568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10204
10,Just keeps churning the runs out.Yuvraj Singh: Gaylestorm !!,864,9,2,38.1036476761,0.0070690573156,0.033268101767,0.0,0.0285229344225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09091
11,@henrygayle @ICCAlbie Morkel: Scary to think you can still add Pollard and Narine to this WI team.Harsha Bhogle: Gayle now flicking balls for sixes.,863,21,8,123.050783952,0.0,0.0746999320568,0.0646465514902,0.0295871538368,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.09804
12,England facing heavy artillerySehwag had picked Gayle as one of his top five batsmen to watch out for in this tournament.,862,13,9,100.110596986,0.0646465514902,0.0285229344225,0.147530781397,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13551
13,"Anyone doubting his predictions yet?Sammy: ""It's always a joy to watch the universe's boss as he calls himself (referring to Gayle).",861,21,9,108.273451866,0.147530781397,0.0295871538368,0.0105460302051,0.0193214223528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113945
14,It was just an incredible innings from an incredible player.,860,5,6,49.2083451288,0.0105460302051,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083335
15,We were happy to chase  .,859,3,3,24.8451767914,0.0,0.0193214223528,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06977
16,.,858,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
17,England batted well but never really accelerated and stayed at 9-an-over.,857,9,3,49.9604260195,0.0,0.0,0.0579553015836,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112145
18,At one time we thought we would be chasing  .,856,6,4,43.060104672,0.0579553015836,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06383
19,.,855,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
20,Marlon is a big match player.,854,5,2,27.0245796841,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058825
