,text,time,len,len_stop,tfidf,sim_p,sim_pp,sim_n,sim_nn,goal,score,won,win,lose,lost,draw,penalty,position,breakthrough,header,offside
0,Evening all!,6.46pm,2,1,9.78470440151,0.0,0.0,0.0,0.0,0,0.022225,0,0,0,0,0,0,0,0,0,0
1,Sports Mole's live Champions League coverage continues from Scotland as Scottish champions Celtic welcome the Spanish champions Barcelona in Group C. The atmosphere has been building throughout the afternoon and there is sure to be some serious noise inside Celtic Park when the match kicks off in just under one hour.,6.46pm,33,20,197.641532912,0.0,0.0,0.100849286337,0.197443049348,0,0.17364,0,0,0,0,0,0,0,0,0,0
2,Be sure to stick with us for what should be an enthralling night!,6.46pm,6,8,54.9640790966,0.100849286337,0.0,0.0810082241191,0.0,0,0.070175,0,0,0,0,0,0,0,0,0,0
3,Tonight will be the 10th time that these two teams have clashed in the Champions League.,6.49pm,9,8,59.3276883189,0.0810082241191,0.197443049348,0.0665679932957,0.180569781052,0,0.142265,0,0,0,0,0,0,0,0,0,0
4,"Barcelona have won seven of the previous nine, although Celtic's only victory did come in this stadium in November 2012, when they incredibly won 2-1 despite having just 15% of the possession.",6.49pm,21,16,124.544074074,0.0665679932957,0.0,0.109513939186,0.106913362771,0,0.141745,1,0,0,0,0,0,0,0,0,0
5,That was some night in Glasgow and the hosts will be looking for a repeat in November 2016.,6.49pm,8,11,65.4792840163,0.109513939186,0.180569781052,0.0727794344364,0.107083923553,0,0.14624,0,0,0,0,0,0,0,0,0,0
6,"Celtic were thumped 7-0 when they travelled to Barcelona in September, however, with Lionel Messi hitting a hat-trick in a match where Moussa Dembele missed a penalty for the visitors.",6.52pm,20,13,97.3512053069,0.0727794344364,0.106913362771,0.0727909564691,0.0437299305263,0,0.16477,0,0,0,0,0,1,0,0,0,0
7,"It was a tough game for Celtic, but they always, always fancy their chances in this special stadium.© SilverHub",6.52pm,12,9,65.9629320739,0.0727909564691,0.107083923553,0.0110968323535,0.0238128388984,0,0.12857,0,0,0,0,0,0,0,0,0,0
8,"Right, without further ado, let me bring you up-to-speed with the all-important team news from Celtic Park.",6.55pm,14,6,65.3730398428,0.0110968323535,0.0437299305263,0.0281725802175,0.033521158047,0,0.09091,0,0,0,0,0,0,0,0,0,0
9,Both teams were in league action at the weekend – Celtic winning 1-0 at Kilmarnock and Barcelona drawing 0-0 at home to Malaga.,6.55pm,15,9,73.3331585813,0.0281725802175,0.0238128388984,0.0357234851458,0.0571124070058,0,0.26396,0,1,0,0,1,0,0,0,0,0
